,created_at,user,user_followers_count,text,lang,Location,retweet_count,favorite_count
54,2016-07-08 09:01:52,BIGDaTA_Lab,218,RT @monkeylearn: Building a Twitter bot with PHP and Machine Learning: https://t.co/094txh4iSI via @phpacademy https://t.co/xkkl3vWdjN,en,,3,0
55,2016-07-08 09:01:39,jamestagg,2443,Google's new NHS deal is start of machine learning marketplace https://t.co/gBXIhS9qsl,en,,0,0
56,2016-07-08 09:01:36,jamestagg,2443,Google's new NHS deal is start of machine learning marketplace https://t.co/gBXIhRRP3L https://t.co/hiPaSZw0rJ,en,,0,0
57,2016-07-08 09:01:25,FlightCoffee,3339,RT @CollaboratorsCo: @BizDojo team learning the tricks of new @FlightCoffee machine https://t.co/BaPg3Ete2H,en,,1,0
58,2016-07-08 09:01:14,datiobd,2763,"#DataViZ, #DataScience and #MachineLearning White Papers - Part 1 https://t.co/b9plT5DG8Y via @ERieuf @DataScienceCtrl",en,,0,1
59,2016-07-08 09:01:13,dg_risk,1105,MT @KirkDBorne: An Executive’s Guide to #MachineLearning: https://t.co/UnvgxGC5Iw #BigData #DataScience by @McKinsey https://t.co/E16BRNXSpz,en,,2,1
60,2016-07-08 09:01:07,iTunesUTop,322,Spain Courses 41. Machine Learning - Caltech  https://t.co/gq7yuvc8AM  #iTunes #iPhone #Apple  8466,en,,0,0
61,2016-07-08 09:01:00,DataLabScotland,2487,How #MachineLearning Will Transform the Way Employers and Candidates Connect - via @insideBigData https://t.co/jSlsJxFuQ0,en,,0,0
62,2016-07-08 09:00:57,cruisebruise,2394,"https://t.co/z29qOAY890 #travel #cruise UPMC and IBM to Apply Artificial Intelligence, Machine Learning to Tran... https://t.co/sMjgMZZRWw",en,,1,0
63,2016-07-08 09:00:09,pmerikan,101,"RT @takipid: How to Get Started with @java Machine Learning using @dl4j1 , BID Data Project and Neuroph https://t.co/dtHkSybJgj",en,,6,0
64,2016-07-08 09:00:07,list88buid,237,5 Minute Learning Machine: In only 5 minutes you can easily double your reading speed and develop a better memory. https://t.co/6Cxa08jWjt,en,,0,0
65,2016-07-08 09:00:01,HPE_IT,10901,"La tecnologia può aumentare l'intelligenza umana, ecco come: https://t.co/xhXYwlWGSQ #machinelearning https://t.co/XYd7vK1wYl",it,,1,1
66,2016-07-08 08:59:10,advisort,364,RT @Bots_news: #AI: Machine learning startup Dato changes name to Turi after trademark battle - GeekWire #… https://t.co/YT8kF8Ojnd https:/…,en,,3,0
67,2016-07-08 08:57:58,CecileEynard,151,Google acquiert la start-up française Moodstocks https://t.co/9AF5b6MipL #Google #IA,fr,,1,1
68,2016-07-08 08:56:05,tagbone,29,"A curated list of awesome Machine Learning frameworks, libraries and software https://t.co/kj8RDXp9ms #machinelearning #ai #neuralnetworks",en,,0,0
